GAIN X,GAIN Y,Phase X,Phase Y
1,43.75724671982049,1,12.88094828282966
1.584893192461114,43.8872834702467,1.584893192461114,8.208656451272113
2.511886431509581,43.94015550212864,2.511886431509581,5.200253530339539
3.981071705534974,43.96138470441306,3.981071705534974,3.286434567122033
6.309573444801934,43.96986516942149,6.309573444801934,2.074907280109526
10,43.97324591775104,10,1.309461513183457
15.84893192461114,43.9745925507078,15.84893192461114,0.8262136881425814
25.11886431509581,43.97512877114792,25.11886431509581,0.5211914069417152
39.81071705534975,43.97534226269331,39.81071705534975,0.328640146989004
63.09573444801936,43.97542725791546,63.09573444801936,0.2070188986678138
100.0000000000001,43.97546109504827,100.0000000000001,0.1300809970720433
158.4893192461115,43.97547456457663,158.4893192461115,0.08122069797270071
251.1886431509582,43.97547992351234,251.1886431509582,0.04989181696381607
398.1071705534976,43.97548204842533,398.1071705534976,0.02933208300869935
630.9573444801939,43.97548287296841,630.9573444801939,0.01510368778880464
1000.000000000001,43.97548314746994,1000.000000000001,0.004135429931109354
1584.893192461115,43.97548312172441,1584.893192461115,-0.005940193458927796
2511.886431509583,43.97548277230357,2511.886431509583,-0.01729801032410365
3981.071705534978,43.97548178123684,3981.071705534978,-0.03238960970253153
6309.573444801941,43.97547924666086,6309.573444801941,-0.05447251445124864
10000.00000000001,43.97547286213368,10000.00000000001,-0.08831330374050611
15848.93192461116,43.97545681781549,15848.93192461116,-0.1412164199452611
25118.86431509584,43.97541651372415,25118.86431509584,-0.2246005905443704
39810.71705534979,43.97531527494013,39810.71705534979,-0.3564625876429676
63095.73444801944,43.97506098456989,63095.73444801944,-0.5652579440564756
100000.0000000002,43.97442230152444,100000.0000000002,-0.8960275854560821
158489.3192461117,43.97281841633667,158489.3192461117,-1.420058229344414
251188.6431509586,43.96879224952414,251188.6431509586,-2.250024362569943
398107.1705534981,43.95869540813195,398107.1705534981,-3.56333621867722
630957.3444801947,43.93343634555274,630957.3444801947,-5.636597309103775
1000000.000000002,43.87062895586627,1000000.000000002,-8.89039347900256
1584893.192461117,43.71675755748471,1584893.192461117,-13.92409500222827
2511886.431509587,43.35271042712217,2511886.431509587,-21.45242509749201
3981071.705534983,42.5537550082297,3981071.705534983,-31.91781472880213
6309573.44480195,41.02448992206271,6309573.44480195,-44.64117490677588
10000000.00000003,38.60516316507955,10000000.00000003,-57.44885479104918
15848931.92461118,35.4394397774882,15848931.92461118,-68.10823918672057
25118864.31509588,31.821943500756,25118864.31509588,-75.85217430709315
39810717.05534985,27.98402130670655,39810717.05534985,-81.09307703331602
63095734.44801953,24.0500188392022,63095734.44801953,-84.56197501876041
100000000.0000003,20.07594663099582,100000000.0000003,-86.89615123634056
158489319.2461119,16.08473319356283,158489319.2461119,-88.56992290529298
251188643.1509589,12.08428289283548,251188643.1509589,-89.93586166748828
398107170.5534986,8.074270569959987,398107170.5534986,-91.28200678543068
630957344.4801955,4.046205962198104,630957344.4801955,-92.87953948114942
1000000000.000004,-0.02178951934140625,1000000000.000004,-95.00385661241583
1584893192.461119,-4.172139236960541,1584893192.461119,-97.88710131875902
2511886431.50959,-8.457889781855076,2511886431.50959,-101.5772148075845
3981071705.534988,-12.8917307165666,3981071705.534988,-105.9823675097661
6309573444.801957,-17.4424246407019,6309573444.801957,-111.5006318282813
10000000000,-22.18307728182335,10000000000,-119.125943532631
